company,old,title,link,salary,netgross,city
UAB „Biuro“,prieš 2 d.,TECHNICAL SUPPORT SPECIALIST,https://www.cvbankas.lt/technical-support-specialist-vilniuje/1-9090995,1500,Neatskaičius mokesčių,Vilniuje
HIREVIEW,prieš 2 d.,Angular developer,https://www.cvbankas.lt/angular-developer-vilniuje/1-6498747,3000-4900,Neatskaičius mokesčių,Vilniuje
HIREVIEW,prieš 2 d.,MID/SENIOR DEVOPS ENGINEER,https://www.cvbankas.lt/mid-senior-devops-engineer-darbas-namuose/1-6596921,Nuo 2500,Į rankas,Darbas namuose
HIREVIEW,prieš 2 d.,.Net Developer,https://www.cvbankas.lt/net-developer-darbas-namuose/1-6521583,3800-5450,Neatskaičius mokesčių,Darbas namuose
HR factory,prieš 2 d.,REACT DEVELOPER MID/SENIOR LEVEL,https://www.cvbankas.lt/react-developer-mid-senior-level-vilniuje/1-8865830,Nuo 1500,Į rankas,Vilniuje
UAB „Perlas Network“,prieš 2 d.,WEB administratorius (-ė) - testuotojas (-a),https://www.cvbankas.lt/web-administratorius-e-testuotojas-a-vilniuje/1-7053065,1500,Į rankas,Vilniuje
UAB „Kilo grupė“,prieš 2 d.,Senior Back-end Engineer (PHP) 👋,https://www.cvbankas.lt/senior-back-end-engineer-php-vilniuje/1-7630207,4000-7000,Neatskaičius mokesčių,Vilniuje
UAB „Kilo grupė“,prieš 2 d.,React Native Engineer,https://www.cvbankas.lt/react-native-engineer-darbas-namuose/1-6497151,2300-7500,Neatskaičius mokesčių,Darbas namuose
Ignitis grupė,prieš 2 d.,ETL/DATA DEVELOPER,https://www.cvbankas.lt/etl-data-developer-siauliuose/1-9090607,1860-3242,Neatskaičius mokesčių,Šiauliuose
Ignitis grupė,prieš 2 d.,ETL/DATA DEVELOPER,https://www.cvbankas.lt/etl-data-developer-kaune/1-9090609,1860-3242,Neatskaičius mokesčių,Kaune
Ignitis grupė,prieš 2 d.,ETL/DATA DEVELOPER,https://www.cvbankas.lt/etl-data-developer-panevezyje/1-9090603,1860-3242,Neatskaičius mokesčių,Panevėžyje
